date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
12/11/2019,314.03,314.42,314.7,313.44,53521450,314.03,314.42,314.7,313.44,53521450,0.89,0.2839,11-Dec-19,0.085779
12/12/2019,314.43,317.13,317.99,314.17,96585802,314.43,317.13,317.99,314.17,96585802,2.71,0.8619,12-Dec-19,0.095138
12/13/2019,316.87,317.32,318.67,316.02,81546487,316.87,317.32,318.67,316.02,81546487,0.19,0.0599,13-Dec-19,0.095794
12/16/2019,319.22,319.5,320.15,317.25,82836128,319.22,319.5,320.15,317.25,82836128,2.18,0.687,16-Dec-19,0.103322
12/17/2019,319.92,319.57,320.25,319.48,61131769,319.92,319.57,320.25,319.48,61131769,0.07,0.0219,17-Dec-19,0.103564
12/18/2019,320,319.59,320.25,319.53,48199955,320,319.59,320.25,319.53,48199955,0.02,0.0063,18-Dec-19,0.103633
12/19/2019,319.8,320.9,320.98,319.52,85388424,319.8,320.9,320.98,319.52,85388424,1.31,0.4099,19-Dec-19,0.108157
12/20/2019,320.46,320.73,321.97,319.39,149338215,320.46,320.73,321.97,319.39,149338215,-0.17,-0.053,20-Dec-19,0.10757
12/23/2019,321.59,321.22,321.65,321.06,53015641,321.59,321.22,321.65,321.06,53015641,0.49,0.1528,23-Dec-19,0.109262
12/24/2019,321.47,321.23,321.52,320.9,20270007,321.47,321.23,321.52,320.9,20270007,0.01,0.0031,24-Dec-19,0.109296
12/26/2019,321.65,322.94,322.95,321.64,31024188,321.65,322.94,322.95,321.64,31024188,1.71,0.5323,26-Dec-19,0.115201
12/27/2019,323.74,322.86,323.8,322.28,42554820,323.74,322.86,323.8,322.28,42554820,-0.08,-0.0248,27-Dec-19,0.114925
12/30/2019,322.95,321.08,323.1,320.55,49782730,322.95,321.08,323.1,320.55,49782730,-1.78,-0.5513,30-Dec-19,0.108778
12/31/2019,320.53,321.86,322.13,320.15,57106998,320.53,321.86,322.13,320.15,57106998,0.78,0.2429,31-Dec-19,0.111472
1/2/2020,323.54,324.87,324.89,322.53,59253833,323.54,324.87,324.89,322.53,59253833,3.01,0.9352,2-Jan-20,0.121866
1/3/2020,321.16,322.41,323.64,321.1,77783121,321.16,322.41,323.64,321.1,77783121,-2.46,-0.7572,3-Jan-20,0.113371
1/6/2020,320.49,323.64,323.73,320.36,55761948,320.49,323.64,323.73,320.36,55761948,1.23,0.3815,6-Jan-20,0.117619
1/7/2020,323.02,322.73,323.54,322.24,42854811,323.02,322.73,323.54,322.24,42854811,-0.91,-0.2812,7-Jan-20,0.114476
1/8/2020,322.94,324.45,325.78,322.67,68434153,322.94,324.45,325.78,322.67,68434153,1.72,0.533,8-Jan-20,0.120416
1/9/2020,326.16,326.65,326.73,325.52,48569601,326.16,326.65,326.73,325.52,48569601,2.2,0.6781,9-Jan-20,0.128013
1/10/2020,327.29,325.71,327.46,325.2,53057389,327.29,325.71,327.46,325.2,53057389,-0.94,-0.2878,10-Jan-20,0.124767
1/13/2020,326.39,327.95,327.96,325.92,47262010,326.39,327.95,327.96,325.92,47262010,2.24,0.6877,13-Jan-20,0.132502
1/14/2020,327.47,327.45,328.62,326.84,63036384,327.47,327.45,328.62,326.84,63036384,-0.5,-0.1525,14-Jan-20,0.130776
1/15/2020,327.35,328.19,329.02,327.26,72056598,327.35,328.19,329.02,327.26,72056598,0.74,0.226,15-Jan-20,0.133331
1/16/2020,329.7,330.92,330.92,329.45,54050328,329.7,330.92,330.92,329.45,54050328,2.73,0.8318,16-Jan-20,0.142758
1/17/2020,331.7,331.95,332.18,330.85,95846017,331.7,331.95,332.18,330.85,95846017,1.03,0.3113,17-Jan-20,0.146315
1/21/2020,330.9,331.3,332.18,330.82,77742415,330.9,331.3,332.18,330.82,77742415,-0.65,-0.1958,21-Jan-20,0.144071
1/22/2020,332.24,331.34,332.95,331.17,48914899,332.24,331.34,332.95,331.17,48914899,0.04,0.0121,22-Jan-20,0.144209
1/23/2020,330.63,331.72,332.17,329.41,51962994,330.63,331.72,332.17,329.41,51962994,0.38,0.1147,23-Jan-20,0.145521
1/24/2020,332.44,328.77,332.53,327.36,87578442,332.44,328.77,332.53,327.36,87578442,-2.95,-0.8893,24-Jan-20,0.135334
1/27/2020,323.03,323.5,325.12,322.66,84062463,323.03,323.5,325.12,322.66,84062463,-5.27,-1.6029,27-Jan-20,0.117135
1/28/2020,325.06,326.89,327.85,323.6,63833953,325.06,326.89,327.85,323.6,63833953,3.39,1.0479,28-Jan-20,0.128842
1/29/2020,328.38,326.62,328.63,326.4,54040889,328.38,326.62,328.63,326.4,54040889,-0.27,-0.0826,29-Jan-20,0.127909
1/30/2020,324.36,327.68,327.91,323.54,75491844,324.36,327.68,327.91,323.54,75491844,1.06,0.3245,30-Jan-20,0.13157
1/31/2020,327,321.73,327.17,320.73,113845576,327,321.73,327.17,320.73,113845576,-5.95,-1.8158,31-Jan-20,0.111023
2/3/2020,323.35,324.12,326.16,323.22,69242293,323.35,324.12,326.16,323.22,69242293,2.39,0.7429,3-Feb-20,0.119276
2/4/2020,328.07,329.06,330.01,327.72,62573190,328.07,329.06,330.01,327.72,62573190,4.94,1.5241,4-Feb-20,0.136335
2/5/2020,332.27,332.86,333.09,330.67,65951146,332.27,332.86,333.09,330.67,65951146,3.8,1.1548,5-Feb-20,0.149458
2/6/2020,333.91,333.98,334.19,332.8,50359688,333.91,333.98,334.19,332.8,50359688,1.12,0.3365,6-Feb-20,0.153326
2/7/2020,332.82,332.2,333.99,331.6,64139443,332.82,332.2,333.99,331.6,64139443,-1.78,-0.533,7-Feb-20,0.147179
2/10/2020,331.23,334.68,334.75,331.19,42070006,331.23,334.68,334.75,331.19,42070006,2.48,0.7465,10-Feb-20,0.155743
2/11/2020,336.16,335.26,337.02,334.68,54864533,336.16,335.26,337.02,334.68,54864533,0.58,0.1733,11-Feb-20,0.157746
2/12/2020,336.83,337.42,337.65,336.43,43992662,336.83,337.42,337.65,336.43,43992662,2.16,0.6443,12-Feb-20,0.165205
2/13/2020,335.86,337.06,338.12,335.56,54501922,335.86,337.06,338.12,335.56,54501922,-0.36,-0.1067,13-Feb-20,0.163962
2/14/2020,337.51,337.6,337.73,336.2,64582210,337.51,337.6,337.73,336.2,64582210,0.54,0.1602,14-Feb-20,0.165826
2/18/2020,336.51,336.73,337.67,335.21,57342526,336.51,336.73,337.67,335.21,57342526,-0.87,-0.2577,18-Feb-20,0.162822
2/19/2020,337.79,338.34,339.08,337.48,48814692,337.79,338.34,339.08,337.48,48814692,1.61,0.4781,19-Feb-20,0.168382
2/20/2020,337.74,336.95,338.64,333.68,74163362,337.74,336.95,338.64,333.68,74163362,-1.39,-0.4108,20-Feb-20,0.163582
2/21/2020,335.47,333.48,335.81,332.58,113788208,335.47,333.48,335.81,332.58,113788208,-3.47,-1.0298,21-Feb-20,0.151599
2/24/2020,323.14,322.42,333.56,321.24,161088409,323.14,322.42,333.56,321.24,161088409,-11.06,-3.3165,24-Feb-20,0.113406
2/25/2020,323.94,312.65,324.61,311.69,218913168,323.94,312.65,324.61,311.69,218913168,-9.77,-3.0302,25-Feb-20,0.079667
2/26/2020,314.18,311.5,318.11,310.7,194773819,314.18,311.5,318.11,310.7,194773819,-1.15,-0.3678,26-Feb-20,0.075696
2/27/2020,305.46,297.51,311.56,297.51,284353459,305.46,297.51,311.56,297.51,284353459,-13.99,-4.4912,27-Feb-20,0.027384
2/28/2020,288.7,296.26,297.89,285.54,385764020,288.7,296.26,297.89,285.54,385764020,-1.25,-0.4202,28-Feb-20,0.023068
3/2/2020,298.21,309.09,309.16,294.46,238703625,298.21,309.09,309.16,294.46,238703625,12.83,4.3307,2-Mar-20,0.067373
3/3/2020,309.5,300.24,313.84,297.57,300139149,309.5,300.24,313.84,297.57,300139149,-8.85,-2.8632,3-Mar-20,0.036812
3/4/2020,306.12,312.86,313.1,303.33,176613448,306.12,312.86,313.1,303.33,176613448,12.62,4.2033,4-Mar-20,0.080392
3/5/2020,304.98,302.46,308.47,300.01,186366809,304.98,302.46,308.47,300.01,186366809,-10.4,-3.3242,5-Mar-20,0.044478
3/6/2020,293.15,297.46,298.78,290.23,228667168,293.15,297.46,298.78,290.23,228667168,-5,-1.6531,6-Mar-20,0.027212
3/9/2020,275.3,274.23,284.19,273.45,309417349,275.3,274.23,284.19,273.45,309417349,-23.23,-7.8095,9-Mar-20,-0.053008
