date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
11/12/2019,137.03,137.43,137.59,136.19,6451809,137.03,137.43,137.59,136.19,6451809,0.37,0.27,12-Nov-19,0.085545
11/13/2019,137.8,137.98,138.22,137.64,8809752,137.8,137.98,138.22,137.64,8809752,0.55,0.4002,13-Nov-19,0.089889
11/14/2019,138.39,138.56,138.94,137.87,5220927,138.39,138.56,138.94,137.87,5220927,0.58,0.4204,14-Nov-19,0.094471
11/15/2019,138.03,138.21,138.42,137.97,10106940,138.03,138.21,138.42,137.97,10106940,-0.35,-0.2526,15-Nov-19,0.091706
11/18/2019,138.44,138.62,138.85,138.3,5722188,138.44,138.62,138.85,138.3,5722188,0.41,0.2967,18-Nov-19,0.094945
11/19/2019,138.13,138.69,138.97,138.13,4825641,138.13,138.69,138.97,138.13,4825641,0.07,0.0505,19-Nov-19,0.095498
11/20/2019,138.53,138.76,139,138.1,6894534,138.53,138.76,139,138.1,6894534,0.07,0.0505,20-Nov-19,0.096051
11/21/2019,138.39,138,138.56,137.77,4197208,138.39,138,138.56,137.77,4197208,-0.76,-0.5477,21-Nov-19,0.090047
11/22/2019,138.37,137.74,138.46,137.66,3620534,138.37,137.74,138.46,137.66,3620534,-0.26,-0.1884,22-Nov-19,0.087994
11/25/2019,137.32,137.08,137.62,136.99,6418042,137.32,137.08,137.62,136.99,6418042,-0.66,-0.4792,25-Nov-19,0.08278
11/26/2019,136.98,137.74,137.8,136.58,4725594,136.98,137.74,137.8,136.58,4725594,0.66,0.4815,26-Nov-19,0.087994
11/27/2019,137.03,137.01,137.21,136.83,4113152,137.03,137.01,137.21,136.83,4113152,-0.73,-0.53,27-Nov-19,0.082227
11/29/2019,137.1,137.86,138.13,137.08,4516421,137.1,137.86,138.13,137.08,4516421,0.85,0.6204,29-Nov-19,0.088942
12/2/2019,137.32,137.79,138.09,137.3,8278535,137.32,137.79,138.09,137.3,8278535,-0.07,-0.0508,2-Dec-19,0.088389
12/3/2019,139.04,139.11,139.57,138.97,8502989,139.04,139.11,139.57,138.97,8502989,1.32,0.958,3-Dec-19,0.098815
12/4/2019,139.16,138.92,139.16,138.59,6326512,139.16,138.92,139.17,138.59,6326512,-0.19,-0.1366,4-Dec-19,0.097314
12/5/2019,138.8,139,139.45,138.79,5674471,138.8,139,139.45,138.79,5674471,0.08,0.0576,5-Dec-19,0.097946
12/6/2019,137.76,137.62,137.83,137.4,8748968,137.76,137.62,137.83,137.4,8748968,-1.38,-0.9928,6-Dec-19,0.087046
12/9/2019,137.8,137.58,137.81,137.45,2814342,137.8,137.58,137.81,137.45,2814342,-0.04,-0.0291,9-Dec-19,0.08673
12/10/2019,138.25,137.97,138.33,137.74,3241771,138.25,137.97,138.33,137.74,3241771,0.39,0.2835,10-Dec-19,0.08981
12/11/2019,138.2,138.92,139.3,138.12,6117701,138.2,138.92,139.3,138.12,6117701,0.95,0.6886,11-Dec-19,0.097314
12/12/2019,139.78,138.43,139.85,137.88,8816618,139.78,138.43,139.85,137.88,8816618,-0.49,-0.3527,12-Dec-19,0.093444
12/13/2019,138.52,139.05,139.21,137.98,6979801,138.52,139.05,139.21,137.98,6979801,0.62,0.4479,13-Dec-19,0.098341
12/16/2019,139.2,139.04,139.39,138.8,4647211,139.2,139.04,139.39,138.8,4647211,-0.01,-0.0072,16-Dec-19,0.098262
12/17/2019,139.02,139.01,139.3,138.85,4288118,139.02,139.01,139.3,138.85,4288118,-0.03,-0.0216,17-Dec-19,0.098025
12/18/2019,138.86,139.02,139.25,138.81,3608069,138.86,139.02,139.25,138.81,3608069,0.01,0.0072,18-Dec-19,0.098104
12/19/2019,139.04,139.38,139.55,138.87,4975164,139.04,139.38,139.55,138.87,4975164,0.36,0.259,19-Dec-19,0.100948
12/20/2019,139.37,139.52,139.52,138.98,4481503,139.37,139.52,139.52,138.98,4481503,0.14,0.1004,20-Dec-19,0.102054
12/23/2019,139.53,139.95,139.96,139.53,5182388,139.53,139.95,139.96,139.53,5182388,0.43,0.3082,23-Dec-19,0.10545
12/24/2019,140.44,141.27,141.33,140.43,5303698,140.44,141.27,141.33,140.43,5303698,1.32,0.9432,24-Dec-19,0.115877
12/26/2019,142.06,142.38,142.47,141.91,8343019,142.06,142.38,142.47,141.91,8343019,1.11,0.7857,26-Dec-19,0.124645
12/27/2019,142.26,142.33,142.73,142.17,5120441,142.26,142.33,142.73,142.17,5120441,-0.05,-0.0351,27-Dec-19,0.12425
12/30/2019,142.56,142.63,142.8,142.46,4812117,142.56,142.63,142.8,142.46,4812117,0.3,0.2108,30-Dec-19,0.126619
12/31/2019,143.31,142.9,143.6,142.8,5314467,143.31,142.9,143.61,142.8,5314467,0.27,0.1893,31-Dec-19,0.128752
1/2/2020,143.86,143.95,144.21,143.4,7736828,143.86,143.95,144.21,143.4,7736828,1.05,0.7348,2-Jan-20,0.137046
1/3/2020,145.75,145.86,146.32,145.4,12285501,145.75,145.86,146.32,145.4,12285501,1.91,1.3268,3-Jan-20,0.152133
1/6/2020,148.44,147.39,148.48,146.95,14409912,148.44,147.39,148.48,146.95,14409912,1.53,1.049,6-Jan-20,0.164218
1/7/2020,147.57,147.97,148.14,147.43,8401088,147.57,147.97,148.14,147.43,8401088,0.58,0.3935,7-Jan-20,0.168799
1/8/2020,148.49,146.86,148.61,146.14,22276323,148.49,146.86,148.61,146.14,22276323,-1.11,-0.7502,8-Jan-20,0.160032
1/9/2020,146.07,146.03,146.41,145.44,10304334,146.07,146.03,146.41,145.44,10304334,-0.83,-0.5652,9-Jan-20,0.153476
1/10/2020,146.22,146.91,146.99,146.17,6183992,146.22,146.91,146.99,146.17,6183992,0.88,0.6026,10-Jan-20,0.160427
1/13/2020,146.35,145.82,146.38,145.78,7603649,146.35,145.82,146.38,145.78,7603649,-1.09,-0.742,13-Jan-20,0.151817
1/14/2020,145.42,145.69,145.81,145.08,6607124,145.42,145.69,145.81,145.08,6607124,-0.13,-0.0892,14-Jan-20,0.15079
1/15/2020,146.21,146.54,146.73,145.82,6510029,146.21,146.54,146.73,145.82,6510029,0.85,0.5834,15-Jan-20,0.157504
1/16/2020,146.27,146.31,146.47,145.75,6069101,146.27,146.31,146.47,145.76,6069101,-0.23,-0.157,16-Jan-20,0.155687
1/17/2020,146.51,146.58,146.99,146.31,11121140,146.51,146.58,146.99,146.31,11121140,0.27,0.1845,17-Jan-20,0.15782
1/21/2020,145.77,146.74,146.86,145.55,6086149,145.77,146.74,146.86,145.55,6086149,0.16,0.1092,21-Jan-20,0.159084
1/22/2020,146.68,146.79,146.81,146.38,4778186,146.68,146.79,146.81,146.38,4778186,0.05,0.0341,22-Jan-20,0.159479
1/23/2020,147,147.12,147.62,146.62,8419778,147,147.12,147.62,146.62,8419778,0.33,0.2248,23-Jan-20,0.162085
1/24/2020,146.9,147.98,148.38,146.89,9919871,146.9,147.98,148.38,146.89,9919871,0.86,0.5846,24-Jan-20,0.168878
1/27/2020,149.24,148.99,149.32,148.46,9988069,149.24,148.99,149.32,148.46,9988069,1.01,0.6825,27-Jan-20,0.176856
1/28/2020,148.36,147.66,148.56,147.53,7543088,148.36,147.66,148.56,147.53,7543088,-1.33,-0.8927,28-Jan-20,0.166351
1/29/2020,147.7,148.46,148.56,147.61,5023827,147.7,148.46,148.56,147.61,5023827,0.8,0.5418,29-Jan-20,0.17267
1/30/2020,148.69,148.47,149.31,148.01,9119545,148.69,148.47,149.31,148.01,9119545,0.01,0.0067,30-Jan-20,0.172749
1/31/2020,148.88,149.33,149.68,148.81,14788263,148.88,149.33,149.68,148.81,14788263,0.86,0.5792,31-Jan-20,0.179542
2/3/2020,148.66,148.36,148.78,147.68,9115075,148.66,148.36,148.78,147.68,9115075,-0.97,-0.6496,3-Feb-20,0.17188
2/4/2020,146.97,146.43,147.03,145.8,10525585,146.97,146.43,147.03,145.8,10525585,-1.93,-1.3009,4-Feb-20,0.156635
2/5/2020,146.38,146.61,146.81,146.16,6160661,146.38,146.61,146.81,146.16,6160661,0.18,0.1229,5-Feb-20,0.158057
2/6/2020,147.28,147.4,147.63,147,4819778,147.28,147.4,147.63,147,4819778,0.79,0.5388,6-Feb-20,0.164297
2/7/2020,147.83,147.79,148.18,147.34,6379311,147.83,147.79,148.18,147.34,6379311,0.39,0.2646,7-Feb-20,0.167378
2/10/2020,148.21,148.17,148.45,147.91,5793599,148.21,148.17,148.45,147.91,5793599,0.38,0.2571,10-Feb-20,0.170379
2/11/2020,148.03,147.66,148.16,147.01,5179392,148.03,147.66,148.16,147.01,5179392,-0.51,-0.3442,11-Feb-20,0.166351
2/12/2020,147.42,147.54,147.81,147.16,5040584,147.42,147.54,147.81,147.16,5040584,-0.12,-0.0813,12-Feb-20,0.165403
2/13/2020,148.24,148.38,148.58,147.95,7082098,148.24,148.38,148.58,147.95,7082098,0.84,0.5693,13-Feb-20,0.172038
2/14/2020,148.74,149,149.13,148.63,5345393,148.74,149,149.13,148.63,5345393,0.62,0.4178,14-Feb-20,0.176935
2/18/2020,149.88,150.91,151.09,149.47,11527580,149.88,150.91,151.09,149.47,11527580,1.91,1.2819,18-Feb-20,0.192022
2/19/2020,151,151.79,151.82,150.81,9269784,151,151.79,151.82,150.82,9269784,0.88,0.5831,19-Feb-20,0.198973
2/20/2020,152,152.41,152.83,151.95,8457348,152,152.41,152.83,151.95,8457348,0.62,0.4085,20-Feb-20,0.20387
2/21/2020,154.43,154.7,155.22,154.18,16353292,154.43,154.7,155.22,154.18,16353292,2.29,1.5025,21-Feb-20,0.221959
2/24/2020,158.5,156.09,158.53,155.36,27170954,158.5,156.09,158.53,155.36,27170954,1.39,0.8985,24-Feb-20,0.232938
2/25/2020,155.12,153.3,156.08,152.91,28091497,155.12,153.3,156.08,152.91,28091497,-2.79,-1.7874,25-Feb-20,0.2109
2/26/2020,153.82,153.97,155.28,152.9,17983155,153.82,153.97,155.28,152.9,17983155,0.67,0.4371,26-Feb-20,0.216193
2/27/2020,155.58,154,156.27,153.9,27878524,155.58,154,156.27,153.9,27878524,0.03,0.0195,27-Feb-20,0.21643
2/28/2020,152.71,148.38,152.77,147.05,42707124,152.71,148.38,152.77,147.05,42707124,-5.62,-3.6494,28-Feb-20,0.172038
